person,text,branch
Uncle,"I'll have some more of that salad, please.",
Mom,Here you go.,
Uncle,Thanks. So did I tell you about that documentary I watched yesterday?,
Cousin 2,Huh oh. Look at his face. That usually means a terrible joke is coming.,
Uncle,It was this fascinating documentary about beavers. It was the best dam movie I’d ever seen!,
Cousin 2,Oh God.,
Cousin 1,Hahaha!,
Cousin 2,"Please, don’t encourage him!",
Player,"Your jokes aren’t getting any better, Uncle, but I gotta say, your sweet potatoes are even more delightful than usual.",
Uncle,I put extra care because it’s the only way to get you to come visit us down here!,potatoes
Player,Hahaha!,
Uncle,"But seriously, I'm glad you could come. I know it's not great getting here by bus coming from all the way up there.",
Player,It really isn't so bad. I just have to think to bring a book.,
Uncle,"Yeah, I wasn't thinking so much of that. Let's just say you're not living in the best neighbourhood. You feel safe walking around at night in that part of town...?",neighbourhood
Uncle,All I'm saying is that I care about your safety and wouldn't want you to end up in the wrong place at the wrong time. ,
Mom,"Would you give it a rest, you two?",
Cousin 1,"Yeah, seriously.",
Cousin 2,...,
Cousin 2,"This turkey is really good, Auntie.",
Mom,Well thank you very much. I was worried it was too dry. ,
Cousin 2,"So, how is your fall going so far, Uncle?",
Uncle,"Well, you know. I'm still looking for work. It's not easy. There's a lot more competition than there used to be in my line of work. ",
Mom,Why is that?,
Uncle,"Well you know, with all these new hiring policies it's hard for a decent hard-working Canadian to make a living.",equity
Mom,I'm sure you'll find work soon! ,
Cousin 1,I'm just going to clear these dishes. ,
Cousin 2,Did somebody say dessert?,
